,access#,line_AVF_average,line_AVF_std
2631670775.0,4.0,0.026153134,0.000112548376
40979728912.0,2.0,0.013000252,0.018385133
40979728866.0,14.0,0.009764831,0.013621511
40979728819.0,9.0,0.011896311,0.014132479
21966063311.0,6.0,0.0043517784,0.010659636
2631670776.0,5.0,0.026363593,9.046647e-05
40979728894.0,2.0,0.0131067475,0.01853574
40979728682.0,19.0,0.008340208,0.012613506
40979728823.0,16.0,0.011833681,0.013882588
2631670777.0,4.0,0.026559407,0.000107941974
40979728888.0,2.0,0.013206729,0.018677134
2631670778.0,20.0,0.026881954,0.00031095225
40979728833.0,12.0,0.009044055,0.01337593
12954820936.0,8.0,0.0033147628,0.009375566
2631670779.0,6.0,0.10236617,0.18515116
40979728884.0,3.0,0.5907739,0.3092829
40979728708.0,14.0,0.0076282877,0.01251679
40979728843.0,7.0,0.019778367,0.013557375
40979728835.0,9.0,0.005934826,0.011776555
2631670780.0,4.0,0.02704039,0.00014884575
26144142352.0,8.0,0.34321126,0.31886655
40979728848.0,15.0,0.009128352,0.013374941
47200594667.0,6.0,0.0044900975,0.010998447
47200594427.0,6.0,0.040535886,0.03273356
2631670781.0,8.0,0.3685285,0.12902433
2631670782.0,5.0,0.34604695,0.103011
13875226037.0,57.0,0.15023208,0.12402609
13875226038.0,63.0,0.29023406,0.24708062
13875226074.0,44.0,0.46778488,0.27703544
2631670783.0,1.0,0.21879873,0.0
2631670784.0,1.0,0.109780915,0.0
2631670785.0,1.0,0.027058799,0.0
2631670786.0,4.0,0.3481859,0.44343916
2631670787.0,1.0,0.3797491,0.0
2631670788.0,1.0,0.027062973,0.0
2631670789.0,2.0,0.15925676,0.18694033
2631670790.0,4.0,0.3613927,0.28664097
2631670791.0,4.0,0.027262017,0.00010391944
40979728725.0,17.0,0.0031936395,0.009015316
2631670792.0,23.0,0.82973355,0.2536984
40979728851.0,14.0,0.007931134,0.013024669
2631670793.0,4.0,0.027469674,0.00010887719
40979728850.0,2.0,0.0136610465,0.019319637
23796185177.0,15.0,0.0091441935,0.013385879
19712750917.0,5.0,0.027534876,9.173722e-05
2631670794.0,7.0,0.28671062,0.4413902
21966063310.0,8.0,0.0034293185,0.009699577
2631670795.0,4.0,0.027688136,0.00011170834
40979728845.0,6.0,0.09925752,0.066790156
2631670796.0,1.0,0.027590303,0.0
40979728879.0,14.0,0.00788739,0.01294183
40979728895.0,13.0,0.6049663,0.23059846
2631670797.0,2.0,0.02772924,2.4927635e-05
2631670798.0,5.0,0.02784646,6.0738304e-05
19513637190.0,4.0,0.32017893,0.38282633
2631670799.0,4.0,0.02889531,0.001239849
40979728896.0,8.0,0.0034796372,0.0098419
2631670800.0,8.0,0.44703045,0.3608746
40979728909.0,9.0,0.009313051,0.013969577
40979728927.0,7.0,0.008297385,0.014184607
2631670801.0,5.0,0.028089678,5.8863003e-05
40979728932.0,13.0,0.010968477,0.014452712
40979728936.0,14.0,0.008216349,0.013492696
19712750905.0,5.0,0.023572225,0.01323147
19712750902.0,10.0,0.0028284462,0.008944333
16355949859.0,5.0,0.005752844,0.01286375
47200594421.0,3.0,0.009747306,0.01688283
2631670802.0,5.0,0.30019835,0.2205468
2631670803.0,1.0,0.056024224,0.0
2631670804.0,5.0,0.4686868,0.2462791
2631670805.0,3.0,0.22214764,0.16775554
2631670806.0,1.0,0.04027664,0.0
2631670807.0,1.0,0.30027345,0.0
2631670808.0,2.0,0.16467631,0.19088544
2631670809.0,1.0,0.2529776,0.0
34094639315.0,17.0,0.21564013,0.24544713
2631670810.0,3.0,0.09089842,0.105923615
2631670811.0,3.0,0.029738091,2.8797904e-06
13875226062.0,9.0,0.114419445,0.1289569
2631670812.0,4.0,0.46932375,0.28443247
2631670814.0,2.0,0.029911382,1.3785047e-05
2631670813.0,1.0,0.029904766,0.0
47200594553.0,8.0,0.4091782,0.16273805
2631670815.0,3.0,0.24971572,0.38070095
2631670816.0,1.0,0.029937694,0.0
2631670817.0,1.0,0.029937964,0.0
26144142406.0,6.0,0.032581598,0.002436444
40979728614.0,5.0,0.09373667,0.14059015
2631670818.0,5.0,0.57604253,0.27199808
2631670819.0,1.0,0.20027365,0.0
47200594563.0,8.0,0.10321492,0.12177758
2631670820.0,5.0,0.3335341,0.1709159
40979728471.0,5.0,0.22505197,0.10891402
2631670821.0,8.0,0.25073653,0.09883266
2631670822.0,2.0,0.2996623,0.38096452
2631670823.0,8.0,0.42500082,0.1795286
2631670824.0,2.0,0.03029703,3.9760616e-06
2631670825.0,1.0,0.03029479,0.0
2631670826.0,1.0,0.030316576,0.0
2631670827.0,2.0,0.030328847,6.2614304e-06
23796185082.0,4.0,0.09428951,0.093678676
23796184858.0,7.0,0.0419762,0.02914174
2631670828.0,1.0,0.030579163,0.0
2631670829.0,1.0,0.030587008,0.0
2631670830.0,1.0,0.030598253,0.0
2631670831.0,1.0,0.030606098,0.0
2631670832.0,1.0,0.03062071,0.0
2631670833.0,2.0,0.05703462,0.037339054
21966063308.0,39.0,0.32973894,0.1458572
2631670834.0,8.0,0.03083859,6.0516795e-05
2631670835.0,5.0,0.7043504,0.23441316
2631670836.0,2.0,0.78636783,1.3357247e-05
2631670837.0,1.0,0.7164097,0.0
2631670838.0,1.0,0.47417343,0.0
47200594488.0,8.0,0.026405545,0.018544314
2631670839.0,9.0,0.051463272,0.030853255
2631670840.0,2.0,0.030836228,2.3341595e-06
6712626327.0,3.0,0.3109294,0.24255662
6712626328.0,4.0,0.12090064,0.09965855
6712626329.0,2.0,0.03088855,6.2366817e-06
6712626330.0,4.0,0.3993447,0.21774454
6712626331.0,2.0,0.055223767,0.03436682
6712626332.0,1.0,0.03094323,0.0
6712626333.0,16.0,0.03508923,0.01577533
23796184947.0,4.0,0.34709743,0.29937437
6712626334.0,4.0,0.5757597,0.4369837
6712626335.0,2.0,0.4157609,0.5440165
23796185036.0,5.0,0.101702765,0.21047461
6712626336.0,3.0,0.69273436,0.4898001
6712626337.0,2.0,0.32151076,0.41073275
6712626338.0,6.0,0.51039094,0.2935313
21966063318.0,18.0,0.3762247,0.08754441
6712626339.0,5.0,0.0493363,0.02130257
6712626340.0,2.0,0.03116501,4.523362e-06
6712626341.0,2.0,0.031210126,5.3803756e-06
6712626342.0,16.0,0.039257184,0.021517243
6712626343.0,1.0,0.8878809,0.0
6712626344.0,4.0,0.45388567,0.28175128
6712626345.0,1.0,0.22834735,0.0
6712626346.0,1.0,0.11327485,0.0
6712626347.0,2.0,0.8454934,0.060025234
26144142183.0,2.0,0.8116261,0.1079366
6712626348.0,2.0,0.03149367,0.00020519886
6712626349.0,10.0,0.063018344,0.033192564
6712626350.0,5.0,0.109793626,0.12248649
6712626351.0,2.0,0.0313979,6.191427e-06
40979728807.0,4.0,0.031602055,0.0447751
6712626352.0,1.0,0.031434566,0.0
6712626353.0,1.0,0.031445846,0.0
6712626354.0,7.0,0.45755237,0.17513074
6712626355.0,1.0,0.23922391,0.0
6712626357.0,9.0,0.5781691,0.25788906
6712626356.0,1.0,0.95468515,0.0
6712626358.0,3.0,0.1740909,0.104635894
6712626359.0,2.0,0.031577613,8.8324705e-06
6712626360.0,1.0,0.031573083,0.0
6712626361.0,1.0,0.031579208,0.0
6712626362.0,2.0,0.031692203,0.00014375127
6712626363.0,15.0,0.098639056,0.12875448
6712626364.0,5.0,0.06377604,0.029921472
23796184935.0,5.0,0.07524779,0.1338036
6712626365.0,2.0,0.21475324,0.25890887
6712626366.0,21.0,0.04676846,0.027475022
6712626367.0,1.0,0.031752538,0.0
6712626368.0,5.0,0.109330244,0.070443705
23796184964.0,5.0,0.012724773,0.017424114
6712626369.0,2.0,0.08749371,0.020221354
6712626370.0,21.0,0.06194352,0.08328516
16355949910.0,38.0,0.06643664,0.062457174
6712626371.0,8.0,0.13814731,0.14390175
6712626372.0,6.0,0.16485482,0.10351448
6712626375.0,8.0,0.24756421,0.089497544
6712626373.0,5.0,0.23201603,0.11298084
6712626374.0,4.0,0.17898603,0.10122072
6712626376.0,5.0,0.46073118,0.24095647
6712626377.0,1.0,0.096530855,0.0
6712626378.0,1.0,0.20534469,0.0
6712626379.0,2.0,0.13327049,0.14327326
40979728876.0,2.0,0.4097365,0.5342497
6712626380.0,2.0,0.66678715,0.43665522
6712626381.0,1.0,0.031976137,0.0
21966063327.0,6.0,0.14111762,0.17537948
6712626382.0,5.0,0.1027837,0.088312805
6712626383.0,7.0,0.6119214,0.22527362
26144142271.0,20.0,0.5618354,0.23868845
6712626384.0,23.0,0.4258605,0.2696011
22641002314.0,53.0,0.4473249,0.26519027
6712626385.0,8.0,0.65446776,0.25149238
6712626386.0,2.0,0.4715793,0.4417211
6712626387.0,1.0,0.032179333,0.0
6712626389.0,1.0,0.032179903,0.0
6712626388.0,1.0,0.032181047,0.0
26144142588.0,1.0,0.032191116,0.0
23796185118.0,7.0,0.027275803,0.012078476
6712626390.0,8.0,0.05598368,0.032743048
6712626391.0,3.0,0.41202495,0.35675457
11226435467.0,1.0,0.03223812,0.0
11226435468.0,5.0,0.06676721,0.077136576
11226435469.0,2.0,0.03227869,1.0760751e-05
11226435470.0,2.0,0.03231256,5.3789613e-06
11226435471.0,1.0,0.032317106,0.0
11226435472.0,28.0,0.3678785,0.4083216
11226435473.0,28.0,0.03818139,0.016432278
19513637247.0,6.0,0.12777375,0.19607705
47200594489.0,6.0,0.07636283,0.029328583
11226435474.0,5.0,0.15376638,0.07814407
11226435475.0,6.0,0.14447938,0.06766026
34094639337.0,27.0,0.01950919,0.04051178
11226435476.0,6.0,0.28694075,0.18345912
11226435477.0,5.0,0.30419597,0.1870104
11226435478.0,5.0,0.63082457,0.33553678
11226435479.0,1.0,0.047827154,0.0
16355949913.0,61.0,0.365607,0.27461582
11226435480.0,2.0,0.25556183,0.3154006
11226435481.0,1.0,0.03252269,0.0
55614027504.0,1.0,0.032524914,0.0
11226435482.0,1.0,0.03253212,0.0
23796185047.0,5.0,0.45219314,0.38475144
11226435483.0,5.0,0.3807645,0.31737697
11226435484.0,3.0,0.035894845,0.005470821
11226435485.0,2.0,0.032571007,1.8950462e-07
40979728882.0,9.0,0.052720156,0.07935727
40979728806.0,8.0,0.035960592,0.030030962
11226435486.0,5.0,0.62176263,0.32322836
11226435487.0,2.0,0.032651443,2.9981327e-06
26144142178.0,5.0,0.04078637,0.029210074
26144142177.0,8.0,0.053076547,0.02793964
11226435488.0,4.0,0.11973821,0.059648883
11226435489.0,8.0,0.07722476,0.022325575
11226435490.0,8.0,0.38445032,0.14286847
11226435491.0,7.0,0.22315224,0.11481506
11226435492.0,6.0,0.30594715,0.13938124
11226435493.0,2.0,0.8452978,0.21212058
11226435494.0,2.0,0.41275597,0.53733814
11226435495.0,4.0,0.31587297,0.18890564
30700161567.0,46.0,0.4669498,0.26228365
11226435496.0,5.0,0.6127856,0.45237014
11226435497.0,4.0,0.5232287,0.31299153
11226435498.0,1.0,0.03283851,0.0
11226435499.0,3.0,0.42842624,0.41137835
11226435500.0,4.0,0.035396334,0.0046201977
11226435501.0,3.0,0.2176952,0.3200898
11226435502.0,4.0,0.03292232,3.35945e-05
61706707299.0,7.0,0.022838656,0.021619346
11226435503.0,2.0,0.032961234,5.3796684e-06
11226435504.0,1.0,0.0329876,0.0
11226435505.0,1.0,0.032987867,0.0
11226435506.0,34.0,0.042321075,0.020110473
40979728473.0,8.0,0.5166871,0.17930388
22641002267.0,5.0,0.41705814,0.41952157
29305824785.0,6.0,0.08026653,0.064929
40979728474.0,4.0,0.07680335,0.07090391
11226435507.0,2.0,0.4570804,0.14004773
11226435508.0,3.0,0.556129,2.304134e-06
